c,v,clauses_vars_ratio,vars_clauses_ratio,vcg_var_mean,vcg_var_coeff,vcg_var_min,vcg_var_max,vcg_var_entropy,vcg_clause_mean,vcg_clause_coeff,vcg_clause_min,vcg_clause_max,vcg_clause_entropy,vg_mean,vg_coeff,vg_min,vg_max,pnc_ratio_mean,pnc_ratio_coeff,pnc_ratio_min,pnc_ratio_max,pnc_ratio_entropy,pnv_ratio_mean,pnv_ratio_coeff,pnv_ratio_min,pnv_ratio_max,pnv_ratio_entropy,pnv_ratio_stdev,binary_ratio,ternary_ratio,ternary+,hc_fraction,hc_var_mean,hc_var_coeff,hc_var_min,hc_var_max,hc_var_entropy,unit_props_at_depth_1,unit_props_at_depth_4,unit_props_at_depth_16,unit_props_at_depth_64,unit_props_at_depth_256,mean_depth_to_contradiction_over_vars,estimate_log_number_nodes_over_vars,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q.10,saps_FirstLocalMinStep_Q.90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,saps_EstACL_Mean,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q.10,gsat_FirstLocalMinStep_Q.90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,gsat_EstACL_Mean,file_name
120270,20559,5.849992703925288,0.17094038413569468,0.0001649425294538397,0.5122420768305382,4.988775255674732e-05,0.000465619023862975,2.55790566075773,0.0001649425294538397,0.1863169820369379,9.728099615740066e-05,0.00019456199231480132,0.9170798044238455,6.647332523661345e-05,0.5196813771356483,3.325850170449821e-05,0.00017460713394861562,0.4092624927247027,0.4339086582285865,0.0,1.0,1.0355600641722742,0.018894025242705916,2.027042623360136,0.0,0.4,0.8229065860722453,0.038298994493807234,0.08052714725201629,0.44789224245447745,0.5284193897064937,0.5290596158643053,8.481087794206311e-05,0.501113719807561,8.314625426124552e-06,0.0002328095119314875,2.3064960469153135,0.0,0.0,0.0,0.0,0.0,0.03534948197869546,0.04684079964978841,1131.44444444,0.164647500659,3932.44444444,0.00917323270598,3928.0,3878.0,3969.0,0.455292249834,0.331344416308,0.794083339272,0.0150065858699,13585006.5062,1824.78571429,0.0209878872233,3934.21428571,0.0096393510434,3934.0,3866.0,3983.0,0.325505883614,0.214350994323,0.843700690375,0.00456575121827,66174310.7452,/home/bprovan/SATfeatPy/2007/industrial/crypto/mizh-sha0-36-2.cnf
153779,26131,5.884925950021048,0.16992567255607072,0.00012954213696858755,0.6039646709526119,4.5519869423003144e-05,0.0004682043712080323,2.3705164773512295,0.00012954213696858755,0.1824071699988219,7.653744594542881e-05,0.000191343614863572,0.9024877407435028,4.9999514122421346e-05,0.48575557956489057,2.6011353956001796e-05,0.00015606812373601076,0.4052107244812361,0.4127185546459065,0.0,1.0,1.0057380109117464,0.020707610137229767,1.8603701086997564,0.0,0.33333333333333337,0.9810806670849685,0.03852381892191032,0.07222052425883899,0.47050637603313844,0.5427269002919775,0.5294481040974385,6.681690810842116e-05,0.5862287253765263,1.3005676978000898e-05,0.00023410218560401615,2.0693830165260905,0.0,0.0,0.0,0.0,0.0,0.029007692013317515,0.06046458229688875,3727.83333333,1.44055188417,4322.0,0.490109736521,5150.5,0.0,5243.0,1.34692177914,1.67915858311,2.43881415959,1.62948276163,15723980.4371,2468.71428571,0.344376677766,4812.71428571,0.287947047729,5172.0,5130.0,5220.0,0.469959230138,1.30036752018,0.903976970076,0.192868851817,108237859.943,/home/bprovan/SATfeatPy/2007/industrial/crypto/mizh-md5-47-3.cnf
153907,26157,5.88396987422105,0.16995328347638508,0.00012940808430891035,0.6042153477219098,4.548201186430767e-05,0.000467814979175736,2.3699861154185724,0.00012940808430891035,0.1824528754195882,7.646136789387162e-05,0.00019115341973467907,0.9026660242796398,4.99490106974845e-05,0.4859065038559718,2.5989721065318665e-05,0.000155938326391912,0.405309050270618,0.4130162357461122,0.0,1.0,1.0061617212353273,0.020693683134573378,1.861546999775651,0.0,0.33333333333333337,0.9795014799449888,0.03852226375347306,0.07231639886424919,0.47045293586386583,0.5427693347281151,0.5294366078216065,6.674813565377187e-05,0.5863724236368082,1.2994860532659332e-05,0.000233907489587868,2.06861795611208,0.0,0.0,0.0,0.0,0.0,0.03716022479642161,0.057384256604350654,2086.5,0.514483598144,4304.33333333,0.490034511118,5128.0,0.0,5215.0,0.82345887435,0.922883520833,0.910231127408,0.239554541816,29531813.4087,2411.85714286,0.212543080619,5168.71428571,0.0124728794924,5174.0,5084.0,5219.0,0.457715515252,1.11867956501,0.866401978876,0.0422470071049,108607078.865,/home/bprovan/SATfeatPy/2007/industrial/crypto/mizh-md5-47-4.cnf
115693,19897,5.8145951651002665,0.171981018730606,0.00017005976880960283,0.509738487782261,5.186139178688426e-05,0.00048403965667758635,2.571000762490116,0.00017005976880960283,0.18731030089717066,0.00010051766597979596,0.0002512941649494899,0.9209559976801613,6.875320427319883e-05,0.518341919925521,3.457426119125617e-05,0.00018151487125409488,0.40853119894894246,0.4374287027063758,0.0,1.0,1.0397289958444669,0.01941220458696035,1.981965008805339,0.0,0.2727272727272727,0.8469062217553271,0.038474310235125916,0.0826065535512088,0.4511163164582127,0.5337228700094215,0.530256800324998,8.759250146726334e-05,0.4981935321126493,1.7287130595628084e-05,0.00024201982833879318,2.3053325188609914,0.0,0.0,0.0,0.0,0.0,0.03543247725787807,0.06317535306830176,1155.8,0.225294832291,3797.1,0.00886550292112,3803.0,3754.0,3837.0,0.506678735136,0.464181520885,0.797185900327,0.0210069988858,13469141.4814,1838.89655172,0.266591004362,3696.55172414,0.192699343411,3838.0,3747.0,3874.0,0.385881950775,1.15246012482,0.868815271766,0.15232652615,62701127.1243,/home/bprovan/SATfeatPy/2007/industrial/crypto/mizh-sha0-35-4.cnf
157595,26735,5.894707312511689,0.1696437069703988,0.00012670109069374698,0.6089213096196289,4.441765284431613e-05,0.0004568672863986802,2.3602486254695103,0.00012670109069374698,0.18229423794739671,7.480830372171311e-05,0.0001870207593042828,0.902087449816559,4.882820745601255e-05,0.4885291533800046,2.5381515911037788e-05,0.00015228909546622673,0.40570893746629016,0.41216517625809507,0.0,1.0,1.0053862438234205,0.020504811561680478,1.874856976115817,0.0,0.33333333333333337,0.9693820318164263,0.0384435890003569,0.07198197912370316,0.46869507281322376,0.540677051936927,0.5292934420508265,6.534233215747223e-05,0.5913783651472726,1.2690757955518894e-05,0.0002284336431993401,2.0667147007726827,0.0,0.0,0.0,0.0,0.0,0.029736300729380962,0.04598522676264369,1691.6,0.062107433613,5252.6,0.00659309885538,5264.0,5193.0,5273.0,0.499408311119,0.154854024861,0.820802397899,0.00772137544522,21561902.8797,2523.23076923,0.252258380746,4865.07692308,0.300667546497,5259.0,5197.0,5344.0,0.475876589165,1.19220024809,0.898672489809,0.163757796176,111817012.404,/home/bprovan/SATfeatPy/2007/industrial/crypto/mizh-md5-48-5.cnf
115611,19882,5.814857660195152,0.17197325514008183,0.0001701965374589249,0.509800772492564,5.1898175779121365e-05,0.00048438297393846606,2.569606933921621,0.0001701965374589249,0.18731322923767726,0.00010059350165979277,0.00020118700331958554,0.9208727758164627,6.880602126314186e-05,0.5182913576102073,3.459878385274758e-05,0.00018164361522692477,0.40840404459783236,0.4376206076093677,0.0,1.0,1.039804140535139,0.01940310229291569,1.9834892629705965,0.0,0.2727272727272727,0.8460333155987052,0.038485845066318435,0.08262189584036121,0.45090865056093277,0.533530546401294,0.5302350122393198,8.765506699802947e-05,0.49828999146941516,1.729939192637379e-05,0.00024219148696923303,2.3052632119669925,0.0,0.0,0.0,0.0,0.0,0.04157026456090936,0.07831204104214867,1091.7,0.0815511549826,3835.7,0.013211551338,3836.0,3753.0,3887.0,0.439208193805,0.194422479193,0.796023280903,0.00723113869858,12165327.8124,1771.71428571,0.0570088710418,3813.53571429,0.0121561973173,3813.0,3735.0,3868.0,0.328165541101,0.532167301554,0.844620880866,0.0119307478453,62168004.1782,/home/bprovan/SATfeatPy/2007/industrial/crypto/mizh-sha0-35-3.cnf
115604,19877,5.8159682044574135,0.1719404172865991,0.00017024878776942818,0.5096300039223555,5.190131829348466e-05,0.00048441230407252344,2.570529158664902,0.00017024878776942818,0.18723869301642285,0.00010061880565477688,0.00020123761130955376,0.9206012262751606,6.881966319779206e-05,0.5183970770863546,3.46008788623231e-05,0.00018165461402719628,0.40856429419973933,0.4371613183811763,0.0,1.0,1.0393104496602723,0.019369580052515167,1.9879111066313757,0.0,0.4,0.8463780181366543,0.038505003317180445,0.08246254454863154,0.4510397564098128,0.5335023009584443,0.5302671187848171,8.769852728601512e-05,0.4980185328015948,8.650219715580775e-06,0.00024220615203626172,2.3055310138158056,0.0,0.0,0.0,0.0,0.0,0.038147104693867284,0.06258489711727122,1309.63636364,0.426124092916,3809.90909091,0.0147216746715,3789.0,3741.0,3875.0,0.638033543814,0.775491503664,0.812922186672,0.0599367245805,16240555.7458,1806.46666667,0.172165984001,3695.43333333,0.189273446078,3821.5,3741.0,3873.0,0.371390609502,1.01575315947,0.862376031572,0.115988633474,62260122.133,/home/bprovan/SATfeatPy/2007/industrial/crypto/mizh-sha0-35-2.cnf
154025,26177,5.883982121709898,0.16995292971920142,0.00012930886017446176,0.6044383135884772,4.544716766758643e-05,0.00046745658172374615,2.3680140417226525,0.00012930886017446176,0.18247604794815364,7.640294915383733e-05,0.00019100737288459336,0.9027577943895309,4.9908326071839225e-05,0.48604503539536614,2.5969810095763675e-05,0.00015581886057458206,0.40533484823892224,0.4131921631938018,0.0,1.0,1.0063980552150658,0.02068197641813375,1.8620063064072143,0.0,0.33333333333333337,0.9785759950596075,0.03850997051953033,0.07236487583184548,0.47036520045447167,0.5427300762863172,0.5293686089920467,6.669118067463978e-05,0.5867209506299672,1.2984905047881838e-05,0.00023372829086187308,2.0703733958644106,0.0,0.0,0.0,0.0,0.0,0.04318676700920655,0.05428429537380143,3223.33333333,1.16772601038,4304.83333333,0.48999567207,5165.0,0.0,5202.0,1.14396788275,1.29850451704,1.19661723135,0.765087976701,20998537.5048,2429.5,0.231883191622,4816.92857143,0.28800709338,5189.0,5104.0,5240.0,0.476269087321,1.12697214577,0.895405469887,0.151186755695,108784618.888,/home/bprovan/SATfeatPy/2007/industrial/crypto/mizh-md5-47-5.cnf
115706,19903,5.813495452946792,0.17201355158764456,0.00017000329669177085,0.5099199902225616,5.185556496638031e-05,0.00048398527301954955,2.5709891793286768,0.00017000329669177085,0.18733429573460011,0.00010048736371401296,0.0002512184092850324,0.921044646832189,6.872822932463178e-05,0.5185136063490423,3.457037664425354e-05,0.00018149447738233107,0.40855155883590016,0.43754770231490564,0.0,1.0,1.0398909588322824,0.019398968236434576,1.9860222769596358,0.0,0.4,0.8461172380866776,0.03852678306759145,0.08265777055641021,0.4511174874250255,0.5337752579814357,0.5301885814045944,8.755755997890654e-05,0.49839983675752997,1.728518832212677e-05,0.00024199263650977477,2.304600415712465,0.0,0.0,0.0,0.0,0.0,0.030690515667654794,0.0636795979248997,1403.18181818,0.708651152889,3488.18181818,0.331940570153,3834.0,3747.0,3889.0,0.662997527139,1.01264827303,0.865808873352,0.26353862159,15458766.2801,1789.63333333,0.100058046853,3824.23333333,0.0159742748064,3829.0,3733.0,3898.0,0.346654032093,0.749044078223,0.847574622246,0.0198377567062,61619507.5546,/home/bprovan/SATfeatPy/2007/industrial/crypto/mizh-sha0-35-5.cnf
157313,26683,5.895626428812353,0.16961725985773585,0.00012695497100523054,0.6084240179743432,4.4497276131025405e-05,0.00045768626877626135,2.3623633744630474,0.00012695497100523054,0.18221005159201561,7.495409061949556e-05,0.0001873852265487389,0.9017577309017122,4.8927206636036184e-05,0.4882092814172381,2.542701493201452e-05,0.0001525620895920871,0.40546362983351664,0.41159049435128897,0.0,1.0,1.0045447744142848,0.020529794945052793,1.8729121047861508,0.0,0.33333333333333337,0.9712840012044481,0.03845050146136691,0.071805890168009,0.46886144183888173,0.5406673320068908,0.5293141698397462,6.547125202030471e-05,0.5909083530588166,1.271350746600726e-05,0.00022884313438813067,2.06554287624218,0.0,0.0,0.0,0.0,0.0,0.04637784357081288,0.050331671850991265,2328.66666667,0.484718393438,4408.83333333,0.490014092825,5294.5,0.0,5299.0,0.977264187656,0.786430011519,0.924254703162,0.237119417049,35758251.2905,2395.92307692,0.120501334124,5272.0,0.0103748350287,5301.0,5176.0,5311.0,0.428241465794,0.799087317236,0.861956406133,0.0221774358498,112215822.162,/home/bprovan/SATfeatPy/2007/industrial/crypto/mizh-md5-48-2.cnf
